"timestamp","Host","severity_name","severity","description","cmdline","files_written","entities"
"2025-03-28T13:58:12.901Z","10.0.9.44","High","70","A process has created a memory dump of LSASS","""C:\Windows\system32\taskmgr.exe"" /7","",
"2025-03-28T13:58:12.388Z","10.0.9.44","High","70","An unusual process accessed lsass. This might indicate an attempt to dump credentials. Investigate the process tree.","""C:\Windows\system32\taskmgr.exe"" /7","",
"2025-03-28T13:27:08.278Z","10.0.9.44","Low","30","This file is classified as Adware/PUP based on its SHA256 hash.","windows-privesc-check2.exe  --audit -a -o report-elev","",
"2025-03-28T13:27:07.774Z","10.0.9.44","Low","30","This file is classified as Adware/PUP based on its SHA256 hash.","windows-privesc-check2.exe  --audit -a -o report-elev","@{filename=MSASN1.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI53482; timestamp=1743168428},@{filename=PyWinTypes27.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI53482; timestamp=1743168427},@{filename=msvcr90.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI53482; timestamp=1743168428},@{filename=msvcp90.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI53482; timestamp=1743168428},@{filename=WTSAPI32.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI53482; timestamp=1743168428},@{filename=python27.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI53482; timestamp=1743168428},@{filename=msvcm90.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI53482; timestamp=1743168428},@{filename=WINSTA.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI53482; timestamp=1743168428},@{filename=CRYPT32.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI53482; timestamp=1743168428},@{filename=win32event.pyd; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI53482; timestamp=1743168427}",
"2025-03-28T13:26:53.492Z","10.0.9.44","Low","30","This file is classified as Adware/PUP based on its SHA256 hash.","windows-privesc-check2.exe  --audit -a","",
"2025-03-28T13:26:52.992Z","10.0.9.44","Low","30","This file is classified as Adware/PUP based on its SHA256 hash.","windows-privesc-check2.exe  --audit -a","@{filename=python27.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI30162; timestamp=1743168413},@{filename=WINSTA.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI30162; timestamp=1743168413},@{filename=WTSAPI32.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI30162; timestamp=1743168413},@{filename=msvcp90.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI30162; timestamp=1743168413},@{filename=MSASN1.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI30162; timestamp=1743168413},@{filename=CRYPT32.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI30162; timestamp=1743168413},@{filename=PyWinTypes27.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI30162; timestamp=1743168412},@{filename=msvcr90.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI30162; timestamp=1743168413},@{filename=msvcm90.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI30162; timestamp=1743168413},@{filename=bz2.pyd; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI30162; timestamp=1743168412}",
"2025-03-28T13:26:17.752Z","10.0.9.44","Low","30","This file is classified as Adware/PUP based on its SHA256 hash.","windows-privesc-check2.exe  --audit -a","",
"2025-03-28T13:26:17.233Z","10.0.9.44","Low","30","This file is classified as Adware/PUP based on its SHA256 hash.","windows-privesc-check2.exe  --audit -a","@{filename=MSASN1.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI69202; timestamp=1743168377},@{filename=WTSAPI32.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI69202; timestamp=1743168377},@{filename=WINSTA.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI69202; timestamp=1743168377},@{filename=msvcp90.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI69202; timestamp=1743168377},@{filename=msvcr90.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI69202; timestamp=1743168377},@{filename=python27.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI69202; timestamp=1743168377},@{filename=CRYPT32.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI69202; timestamp=1743168377},@{filename=msvcm90.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI69202; timestamp=1743168377},@{filename=PyWinTypes27.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI69202; timestamp=1743168377},@{filename=win32service.pyd; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI69202; timestamp=1743168377}",
"2025-03-28T13:25:52.551Z","10.0.9.44","Low","30","This file is classified as Adware/PUP based on its SHA256 hash.","windows-privesc-check2.exe  --audit -h","",
"2025-03-28T13:25:52.053Z","10.0.9.44","Low","30","This file is classified as Adware/PUP based on its SHA256 hash.","windows-privesc-check2.exe  --audit -h","@{filename=msvcr90.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI59002; timestamp=1743168352},@{filename=msvcp90.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI59002; timestamp=1743168352},@{filename=MSASN1.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI59002; timestamp=1743168352},@{filename=PyWinTypes27.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI59002; timestamp=1743168352},@{filename=python27.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI59002; timestamp=1743168352},@{filename=WTSAPI32.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI59002; timestamp=1743168352},@{filename=WINSTA.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI59002; timestamp=1743168352},@{filename=CRYPT32.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI59002; timestamp=1743168352},@{filename=msvcm90.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI59002; timestamp=1743168352},@{filename=win32ts.pyd; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI59002; timestamp=1743168352}",
